iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FN	F1_TP+FP
776	266	296	266	340	266	340	296
777	266	296	266	340	266	340	296
778	266	296	266	340	266	340	296
779	266	296	266	340	266	340	296
780	266	296	266	340	266	340	296
781	266	296	266	340	266	340	296
782	266	296	266	340	266	340	296
783	266	296	266	340	266	340	296
784	266	296	266	340	266	340	296
785	266	296	266	340	266	340	296
786	266	296	266	340	266	340	296
787	266	296	266	340	266	340	296
788	266	296	266	340	266	340	296
789	266	296	266	340	266	340	296
790	266	296	266	340	266	340	296
791	266	296	266	340	266	340	296
792	266	296	266	340	266	340	296
793	266	296	266	340	266	340	296
794	266	296	266	340	266	340	296
795	266	296	266	340	266	340	296
796	266	296	266	340	266	340	296
797	266	296	266	340	266	340	296
798	266	296	266	340	266	340	296
799	266	296	266	340	266	340	296
800	266	296	266	340	266	340	296
801	264	294	264	340	264	340	294
802	264	294	264	340	264	340	294
803	266	296	266	340	266	340	296
804	264	294	264	340	264	340	294
805	264	294	264	340	264	340	294
806	264	294	264	340	264	340	294
807	264	294	264	340	264	340	294
808	264	294	264	340	264	340	294
809	264	294	264	340	264	340	294
810	264	294	264	340	264	340	294
811	264	294	264	340	264	340	294
812	264	294	264	340	264	340	294
813	264	294	264	340	264	340	294
814	264	294	264	340	264	340	294
815	263	293	263	340	263	340	293
816	266	296	266	340	266	340	296
817	266	296	266	340	266	340	296
818	266	296	266	340	266	340	296
819	266	296	266	340	266	340	296
820	266	296	266	340	266	340	296
821	266	296	266	340	266	340	296
822	266	296	266	340	266	340	296
823	266	296	266	340	266	340	296
824	266	296	266	340	266	340	296
825	266	296	266	340	266	340	296
826	266	296	266	340	266	340	296
827	266	296	266	340	266	340	296
828	266	296	266	340	266	340	296
829	266	296	266	340	266	340	296
830	266	296	266	340	266	340	296
831	266	296	266	340	266	340	296
832	266	296	266	340	266	340	296
833	266	296	266	340	266	340	296
834	266	296	266	340	266	340	296
835	266	296	266	340	266	340	296
836	265	295	265	340	265	340	295
837	265	295	265	340	265	340	295
838	266	296	266	340	266	340	296
839	266	296	266	340	266	340	296
840	266	296	266	340	266	340	296
841	266	296	266	340	266	340	296
842	266	296	266	340	266	340	296
843	266	296	266	340	266	340	296
844	266	296	266	340	266	340	296
845	266	296	266	340	266	340	296
846	266	296	266	340	266	340	296
